percentage,earned_points
100,4.0
99,3.95
98,3.91
97,3.87
96,3.82
95,3.78
94,3.74
93,3.7
92,3.65
91,3.61
90,3.57
89,3.52
88,3.48
87,3.44
86,3.4
85,3.35
84,3.31
83,3.27
82,3.22
81,3.18
80,3.14
79,3.1
78,3.05
77,3.01
76,2.97
75,2.92
74,2.88
73,2.84
72,2.8
71,2.75
70,2.71
69,2.67
68,2.62
67,2.58
66,2.54
65,2.5
64,2.45
63,2.41
62,2.37
61,2.32
60,2.28
59,2.24
58,2.20
57,2.15
56,2.11
55,2.07
54,2.02
53,1.98
52,1.94
51,1.9
50,1.85
49,1.81
48,1.77
47,1.72
46,1.68
45,1.64
44,1.6
43,1.55
42,1.51
41,1.47
40,1.38
39,1.34
38,1.3
37,1.25
36,1.21
35,1.17
34,1.12
33,1.08
32,1.04
31,1
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,0
22,0
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
1,0
0,0
