percentage,ects
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.0
99,4.0
100,4.0
85,3.7
86,3.7
87,3.7
88,3.7
89,3.7
80,3.3
81,3.3
82,3.3
83,3.3
84,3.3
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
70,2.7
71,2.7
72,2.7
73,2.7
74,2.7
65,2.3
66,2.3
67,2.3
68,2.3
69,2.3
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
55,1.7
56,1.7
57,1.7
58,1.7
59,1.7
50,1.3
51,1.3
52,1.3
53,1.3
54,1.3
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
40,0.7
41,0.7
42,0.7
43,0.7
44,0.7
35,0.3
36,0.3
37,0.3
38,0.3
39,0.3
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0 
